eps_start,eps_decay,eps_min,alpha,alpha_decay,alpha_min,gamma,type,best_score
1.0,0.999,0.005,0.1,1.0,1.0,1.0,Sarsa Expected,8.76
1.0,0.9999,0.005,0.1,1.0,1.0,1.0,Sarsa Expected,2.25
1.0,0.999,0.0001,0.1,1.0,1.0,1.0,Sarsa Expected,8.86
1.0,0.999,0.0001,0.1,0.95,1.0,1.0,Sarsa Expected,8.77
1.0,0.999,0.0001,0.1,0.999,0.005,1.0,Sarsa Expected,8.1172
1.0,0.999,0.0001,0.3,0.999,0.005,1.0,Sarsa Expected,8.81
1.0,0.999,0.0001,0.5,0.999,0.01,1.0,Sarsa Expected,8.852
1.0,0.999,0.0001,0.7,0.999,0.01,1.0,Sarsa Expected,8.8
1.0,0.999,0.0001,0.7,0.999,0.01,1.0,Sarsa Expected,8.754
1.0,0.999,0.0001,0.7,0.999,0.01,1.0,Sarsa Expected,8.8
1.0,0.999,0.0001,0.7,0.999,0.01,1.0,Sarsa Expected,8.790
1.0,0.999,0.0001,0.9,0.999,0.01,1.0,Sarsa Expected,8.960
1.0,0.999,0.0001,1.0,0.999,0.01,1.0,Sarsa Expected,8.770
1.0,0.999,0.0001,0.9,0.999,0.01,1.0,Sarsa Expected,8.760
1.0,0.999,0.0001,0.9,0.999,0.1,1.0,Sarsa Expected,8.958
1.0,0.999,0.0001,0.9,0.9999,0.1,1.0,Sarsa Expected,8.979
1.0,0.999,0.0001,0.9,0.99999,0.1,1.0,Sarsa Expected,8.787
1.0,0.999,0.0001,1.0,0.99999,0.1,1.0,Sarsa Expected,8.871
1.0,0.999,0.0001,1.0,0.99999,0.05,1.0,Sarsa Expected,9.165
1.0,0.999,0.0001,1.0,0.99999,0.01,1.0,Sarsa Expected,8.847
1.0,0.999,0.0001,1.0,0.99999,0.04,1.0,Sarsa Expected,8.824
1.0,0.999,0.0001,1.0,0.99999,0.075,1.0,Sarsa Expected,8.743
1.0,0.999,0.0001,1.0,0.99999,0.05,1.0,Sarsa Expected,8.745
1.0,0.999,0.0001,1.0,0.99999,0.05,1.0,Sarsa Expected,8.750
